Pool,Project,Chain,TVL,Asset Type,Asset APY,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta,Volatility_1d,Volatility_7d,Log_TVL,APY_Risk,Cluster,APY_Rank,TVL_Rank,Risk_Score,Vol_Rank,Risk_Category,ML_Risk_Score,ML_Risk_Category
WBTC,AAVE V2,Ethereum,107993981,,,0.00056,0.00056,0.7409,-3e-05,-0.0007,Unknown,2.0,Lending,,3.79414,3.79414,0.00169,,,,0.00056,0.00056,-0.18576,,-0.18576,111355326.0,3361345.0,107993981.0,,3e-05,0.0007,18.49758606131373,3.0274220546604005e-05,0,0.044444444444444446,0.3555555555555555,15.955555555555557,0.12222222222222222,Low Risk,0.5427101508881329,Low Risk
USDC,AAVE V2,Ethereum,23378758,,,1.06944,1.06944,0.7409,-0.00407,-0.17628,Stable/Up,3.0,Lending,,3.79414,3.79414,1.77235,,,,1.06944,1.06944,-7.0364,,-7.0364,47385306.0,24006548.0,23378758.0,,0.00407,0.17628,16.96733843304425,0.06302933157254899,0,0.25555555555555554,0.6777777777777778,44.17777777777778,0.5111111111111111,Medium Risk,46.89577059799663,Medium Risk
USDT,AAVE V2,Ethereum,15252478,,,1.77493,1.77493,0.7409,-0.01232,-0.69322,Stable/Up,3.0,Lending,,3.79414,3.79414,2.69684,,,,1.77493,1.77493,-9.61481,,-9.61481,39653074.0,24400596.0,15252478.0,,0.01232,0.69322,16.540252605183724,0.10730972750946596,0,0.3111111111111111,0.8333333333333334,58.488888888888894,0.8444444444444444,Medium Risk,58.07204320072772,Medium Risk
WBTC,AAVE V3,Ethereum,3144980783,,,0.02154,0.02154,0.7409,-3e-05,-0.00472,Stable/Up,3.0,Lending,,3.79414,3.79414,0.02413,,,,0.02154,0.02154,-0.46406,,-0.46406,3466730649.0,321749867.0,3144980782.0,,3e-05,0.00472,21.86907361706425,0.0009849525579900434,0,0.1111111111111111,0.022222222222222254,9.37777777777778,0.16666666666666666,Low Risk,0.0,
WEETH,AAVE V3,Ethereum,2462321348,Yield Bearing (EthFi),2.87235,0.00067,0.00067,0.7409,1e-05,1e-05,Unknown,2.0,Lending,,3.79414,3.79414,0.00075,,,,0.00067,0.00067,-1.02753,,-1.02753,2465229588.0,2908240.0,2462321348.0,,1e-05,1e-05,21.624370379749298,3.0983561057918195e-05,0,0.05555555555555555,0.0444444444444444,5.422222222222221,0.06666666666666667,Low Risk,0.0,
WSTETH,AAVE V3,Ethereum,2313196952,Yield Bearing (Lido),2.886,0.08037,0.08037,0.7409,0.00103,-0.03547,Stable/Up,2.0,Lending,,3.79414,3.79414,0.10341,,,,2.96637,2.96637,-0.41133,,-0.41133,2912115721.0,598918769.0,2313196952.0,,0.00103,0.03547,21.561896367024573,0.0037274086950400565,0,0.15555555555555556,0.05555555555555558,14.355555555555556,0.25555555555555554,Low Risk,4.271523819661608,Low Risk
USDC,AAVE V3,Ethereum,693517917,,,3.19354,3.19354,0.7409,0.05885,0.48493,Stable/Up,2.0,Lending,,3.79414,3.79414,2.82893,,,,3.19354,3.19354,-4.81057,,-4.81057,2643115680.0,1949597763.0,693517917.0,,0.05885,0.48493,20.35728763444379,0.15687453345192445,1,0.5444444444444444,0.11111111111111116,44.355555555555554,0.7333333333333333,Medium Risk,42.77842411546812,Medium Risk
USDT,AAVE V3,Ethereum,673746381,,,3.11891,3.11891,0.7409,1.34943,0.84401,Stable/Up,2.0,Lending,,3.79414,3.79414,2.59601,,,,3.11891,3.11891,-4.75403,,-4.75403,2485651825.0,1811905444.0,673746381.0,,1.34943,0.84401,20.32836431022872,0.1534265104856785,1,0.5222222222222223,0.12222222222222223,46.75555555555556,0.8888888888888888,Medium Risk,45.22973450880109,Medium Risk
WETH,AAVE V3,Ethereum,377514512,,,2.05307,2.05307,0.7409,0.03677,0.1115,Stable/Up,3.0,Lending,,3.79414,3.79414,2.15146,,,,2.05307,2.05307,-2.69186,,-2.69186,3675374850.0,3297860338.0,377514512.0,,0.03677,0.1115,19.749119570947475,0.1039575456832126,0,0.37777777777777777,0.16666666666666663,30.8,0.36666666666666664,Low Risk,26.450668015570834,Low Risk
USDS,AAVE V3,Ethereum,338985565,Yield Bearing (Sky),4.5,0.04492,0.04492,0.7409,-0.00042,-0.03929,Stable/Up,3.0,Lending,,3.79414,3.79414,0.08912,,,,0.04492,0.04492,-5.00812,,-5.00812,342397731.0,3412166.0,338985565.0,,0.00042,0.03929,19.641468086267157,0.002286998090097297,0,0.14444444444444443,0.1777777777777778,18.4,0.28888888888888886,Low Risk,4.1054215801631155,Low Risk
