Pool,Project,Chain,TVL,Asset Type,Asset APY,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta
WBTC,AAVE V2,Ethereum,107993981,,,0.00056,0.00056,,-0.00003,-0.0007,,,Lending,,,,0.00169,,,,0.00056,0.00056,-0.18576,,-0.18576,111355326,3361345,107993981,
USDC,AAVE V2,Ethereum,23378758,,,1.06944,1.06944,,-0.00407,-0.17628,Stable/Up,3,Lending,,,,1.77235,,,,1.06944,1.06944,-7.0364,,-7.0364,47385306,24006548,23378758,
USDT,AAVE V2,Ethereum,15252478,,,1.77493,1.77493,,-0.01232,-0.69322,Stable/Up,3,Lending,,,,2.69684,,,,1.77493,1.77493,-9.61481,,-9.61481,39653074,24400596,15252478,
WBTC,AAVE V3,Ethereum,3144980783,,,0.02154,0.02154,,-0.00003,-0.00472,Stable/Up,3,Lending,,,,0.02413,,,,0.02154,0.02154,-0.46406,,-0.46406,3466730649,321749867,3144980782,
WEETH,AAVE V3,Ethereum,2462321348,Yield Bearing (EthFi),2.87235,0.00067,0.00067,,0.00001,0.00001,,,Lending,,,,0.00075,,,,0.00067,0.00067,-1.02753,,-1.02753,2465229588,2908240,2462321348,
WSTETH,AAVE V3,Ethereum,2313196952,Yield Bearing (Lido),2.886,0.08037,0.08037,,0.00103,-0.03547,Stable/Up,2,Lending,,,,0.10341,,,,2.96637,2.96637,-0.41133,,-0.41133,2912115721,598918769,2313196952,
USDC,AAVE V3,Ethereum,693517917,,,3.19354,3.19354,,0.05885,0.48493,Stable/Up,2,Lending,,,,2.82893,,,,3.19354,3.19354,-4.81057,,-4.81057,2643115680,1949597763,693517917,
USDT,AAVE V3,Ethereum,673746381,,,3.11891,3.11891,,1.34943,0.84401,Stable/Up,2,Lending,,,,2.59601,,,,3.11891,3.11891,-4.75403,,-4.75403,2485651825,1811905444,673746381,
WETH,AAVE V3,Ethereum,377514512,,,2.05307,2.05307,,0.03677,0.1115,Stable/Up,3,Lending,,,,2.15146,,,,2.05307,2.05307,-2.69186,,-2.69186,3675374850,3297860338,377514512,
USDS,AAVE V3,Ethereum,338985565,Yield Bearing (Sky),4.5,0.04492,0.04492,,-0.00042,-0.03929,Stable/Up,3,Lending,,,,0.08912,,,,0.04492,0.04492,-5.00812,,-5.00812,342397731,3412166,338985565,
USDE,AAVE V3,Ethereum,200822438,Yield Bearing (Ethena),4.88327,0.1472,0.1472,,0.00609,-0.09098,Stable/Up,3,Lending,,,,2.12494,,,,0.1472,0.1472,-1.21326,,-1.21326,239577217,38754779,200822438,
