Pool,Project,Chain,TVL,Asset Type,Asset APY,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta
ETHX,AAVE V3,Ethereum,21801790,Yield Bearing (Stader),,0.00001,0.00001,,0,0,,,Lending,,,,0.00001,,,,3.26067,3.26067,-0.01294,,-0.01294,21819934,18145,21801789,
WBTC,SparkLend,Ethereum,106921579,,,0.00007,0.00007,,0,0,,,Lending,,,,0.00006,,,,0.00007,0.00007,-0.01711,,-0.01711,107463521,541942,106921579,
RETH,SparkLend,Ethereum,37467148,Yield Bearing (RocketPool),,0.00008,0.00008,,0,-0.00374,,,Lending,,,,0.0042,,,,2.90565,2.90565,-0.25599,,-0.25599,37481081,13933,37467148,
WSTETH,AAVE V3,Arbitrum,66432376,,,0.0002,0.0002,,0,0.00001,,,Lending,,,,0.00019,,,,2.8862,2.8862,-0.01142,,-0.01142,67697111,1264735,66432376,
WBTC,AAVE V2,Ethereum,107993981,,,0.00056,0.00056,,-0.00003,-0.0007,,,Lending,,,,0.00169,,,,0.00056,0.00056,-0.18576,,-0.18576,111355326,3361345,107993981,
WEETH,AAVE V3,Ethereum,2462321348,Yield Bearing (EthFi),,0.00067,0.00067,,0.00001,0.00001,,,Lending,,,,0.00075,,,,0.00067,0.00067,-1.02753,,-1.02753,2465229588,2908240,2462321348,
WSTETH,Moonwell,Base,9743726,,,0.00125,0.00125,,0.00011,0.00017,,,Lending,,,,0.00688,,,,2.8872500000000000,2.8872500000000000,-0.09468,0,-0.09468,9897266,153541,9743725,
WSTETH,AAVE V3,Optimism,34692854,,,0.0027,0.0027,,0.00002,0.00099,,,Lending,,,,0.00259,,,,2.8887,2.8887,-0.33497,,-0.33497,34990168,297314,34692854,
RETH,AAVE V3,Ethereum,83127510,Yield Bearing (RocketPool),,0.00284,0.00284,,-0.00003,-0.00048,,,Lending,,,,0.00363,,,,2.90841,2.90841,-0.22813,,-0.22813,84364756,1237246,83127510,
WEETH,AAVE V3,Base,128865978,,,0.00324,0.00324,,0.00001,0.00008,,,Lending,,,,0.00399,,,,0.00324,0.00324,-1.12252,,-1.12252,129546205,680227,128865978,
WBTC,AAVE V3,Optimism,32399316,,,0.00445,0.00445,,-0.00014,-0.00154,,,Lending,,,,0.00709,,,,0.00445,0.00445,-0.21106,,-0.21106,33827208,1427892,32399316,
WBTC,Compound V2,Ethereum,226129459,,,0.00618,0.00618,,0,-0.00051,Stable/Up,2,Lending,,,,0.00709,,,,0.00618,0.00618,-2.62961,0,-2.62961,226901728,772269,226129459,
WBTC,AAVE V3,Arbitrum,219370121,,,0.00876,0.00876,,-0.00027,-0.00269,Stable/Up,3,Lending,,,,0.00901,,,,0.00876,0.00876,-0.29605,,-0.29605,233176315,13806194,219370121,
AGETH,Upshift,Ethereum,44357398,Yield Bearing (Kelp),,0.01,0.01,,0,0,Stable/Up,3,Onchain Capital Allocator,,,,0.01,,,,0.01,0.01,,,,,,,
WEETH,AAVE V3,Arbitrum,162728683,,,0.01531,0.01531,,0,-0.00082,Stable/Up,3,Lending,,,,0.016,,,,0.01531,0.01531,-1.44846,,-1.44846,165917609,3188927,162728682,
WETH,Compound V2,Ethereum,68432791,,,0.01905,0.01905,,0,0.00074,Stable/Up,3,Lending,,,,0.01792,,,,0.01905,0.01905,-2.2644,0,-2.2644,69168173,735382,68432791,
WBTC,AAVE V3,Ethereum,3144980783,,,0.02154,0.02154,,-0.00003,-0.00472,Stable/Up,3,Lending,,,,0.02413,,,,0.02154,0.02154,-0.46406,,-0.46406,3466730649,321749867,3144980782,
WSTETH,Gearbox,Ethereum,18987606,Yield Bearing (Lido),,0.02972,0.02972,,0.01115,0.0132,Down,2,Lending,,,,0.01393,,,,2.9157200000000000,2.9157200000000000,-0.10865,0,-0.10865,27288450,8300844,18987606,
ERSETH-4,Euler V2,Ethereum,20495865,Yield Bearing (Kelp),,0.03607,0.03607,,0.00022,0.00274,Down,1,Lending,,,,0.04468,,,,0.03607,0.03607,,,,,,,
USDS,AAVE V3,Ethereum,338985565,Yield Bearing (Sky),,0.04492,0.04492,,-0.00042,-0.03929,Stable/Up,3,Lending,,,,0.08912,,,,0.04492,0.04492,-5.00812,,-5.00812,342397731,3412166,338985565,
WSTETH,AAVE V3,Ethereum,2313196952,Yield Bearing (Lido),,0.08037,0.08037,,0.00103,-0.03547,Stable/Up,2,Lending,,,,0.10341,,,,2.96637,2.96637,-0.41133,,-0.41133,2912115721,598918769,2313196952,
CBETH,AAVE V3,Ethereum,9508739,Yield Bearing (Coinbase),,0.1208,0.1208,,-0.00041,-0.15697,Stable/Up,3,Lending,,,,0.24221,,,,3.28799,3.28799,-1.48682,,-1.48682,10513655,1004915,9508740,
USDE,AAVE V3,Ethereum,200822438,Yield Bearing (Ethena),,0.1472,0.1472,,0.00609,-0.09098,Stable/Up,3,Lending,,,,2.12494,,,,0.1472,0.1472,-1.21326,,-1.21326,239577217,38754779,200822438,
