Pool,Project,Chain,TVL,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta
YCETH,Napier,Arbitrum,19055317573,4.50068,4.50068,,,,,,Yield,,,,4.50051,,,,4.50068,4.50068,,,,,,,Principal Token | Maturity Thu Dec 25 2025
STETH,Lido,Ethereum,13786298477,3.122,3.122,,-4.227,0.335,Stable/Up,3,Liquid Staking,,,,3.04791,,,,3.122,3.122,,,,,,,
WEETH,ether.fi Stake,Ethereum,3318419546,5.40818,4.93189,0.47629,-0.26997,1.19724,Down,2,Liquid Restaking,,3.68806,3.68806,3.53556,,,,5.40818,4.93189,,,,,,,
SUSDS,Sky Lending,Ethereum,3049157735,4.5,,,0,0,Stable/Up,2,CDP,,,,5.44444,,,,4.5,0,,,,,,,
WBTC,AAVE V3,Ethereum,2857828007,0.02121,0.02121,,0.00007,-0.00483,Stable/Up,3,Lending,,,,0.02474,,,,0.02121,0.02121,-0.46049,,-0.46049,3147724464,289896457,2857828007,
WBETH,Binance staked ETH,Ethereum,2833520444,3.23025,3.23025,,-1.30342,0.27119,Stable/Up,2,Liquid Staking,,,,2.91215,,,,3.23025,3.23025,,,,,,,
WEETH,AAVE V3,Ethereum,2322277608,0.00065,0.00065,,0,0.00001,,,Lending,,,,0.00078,,,,0.00065,0.00065,-1.02688,,-1.02688,2324956367,2678758,2322277609,
SUSDE,Ethena USDe,Ethereum,2158934761,4.08068,4.08068,,0.07399,-6.63809,Stable/Up,3,Basis Trading,,,,6.03391,,,,4.08068,4.08068,,,,,,,7 days unstaking
WSTETH,AAVE V3,Ethereum,2029646569,0.09134,0.09134,,-0.0052,-0.0232,Stable/Up,2,Lending,,,,0.10684,,,,3.21334,3.21334,-0.43851,,-0.43851,2599633795,569987225,2029646570,
RETH,Rocket Pool,Ethereum,1940163336,2.8537,2.8537,,0.03072,0.39461,Stable/Up,1,Liquid Staking,,,,2.94882,,,,2.8537,2.8537,,,,,,,
JITOSOL,Jito Liquid Staking,Solana,1808877413,7.71,7.71,,0.15,0.02,Stable/Up,3,Liquid Staking,,,,7.83832,,,,7.71,7.71,,,,,,,
TRX,JustLend,Tron,1607655934,0.0334,0.0334,,0.00117,0.00105,Stable/Up,2,Lending,,,,0.03017,,,,0.0334,0.0334,-2.43772,,-2.43772,1632511011,24855078,1607655933,
USDT,AAVE V3,Ethereum,1483810323,1.83135,1.83135,,-0.00872,-1.19459,Stable/Up,3,Lending,,,,2.68614,,,,1.83135,1.83135,-3.6429,,-3.6429,3361386592,1877576269,1483810323,
STRX,JustLend,Tron,1149344919,0.00003,0.00003,,-0.00001,0,,,Lending,,,,0.00005,,,,0.00003,0.00003,-2.00049,,-2.00049,1149364478,19559,1149344919,
USDC,AAVE V3,Ethereum,917534463,2.55772,2.55772,,0.01187,-0.33883,Stable/Up,3,Lending,,,,2.80617,,,,2.55772,2.55772,-4.30514,,-4.30514,2699532853,1781998391,917534462,
CBBTC,AAVE V3,Ethereum,910188068,0.00663,0.00663,,-0.0002,0.00437,Stable/Up,2,Lending,,,,0.00454,,,,0.00663,0.00663,-0.25754,,-0.25754,959616380,49428311,910188069,
BNSOL,Binance Staked SOL,Solana,899772503,5.98326,5.98326,,-0.26026,-1.03393,Down,1,Liquid Staking,,,,6.17986,,,,5.98326,5.98326,,,,,,,
DAI,Sky Lending,Ethereum,876099748,3.5,,,0,0,Stable/Up,2,CDP,,,,4.44028,,,,3.5,0,,,,,,,DSR
RSETH,Kelp,Ethereum,864429091,3.06,,,-0.08,0.19,Stable/Up,2,Liquid Restaking,,,,2.94362,,,,3.06,0,,,,,,,
BTCB,Venus Core Pool,BSC,611254766,0.02441,0.02441,,-0.00406,-0.00611,Stable/Up,3,Lending,,,,0.02443,,,,0.02441,0.02441,-0.52405,0,-0.52405,649047060,37792293,611254767,
USD0++,Usual,Ethereum,602922444,13.63651,,13.63651,2.27571,5.9617,Stable/Up,1,RWA,,,,9.69329,,,,13.63651,0,,,,,,,
METH,mETH Protocol,Ethereum,573462995,3.27875,3.27875,,-3.65732,-0.36588,Stable/Up,2,Liquid Staking,,4.70174,4.70174,3.80739,,,,3.27875,3.27875,,,,,,,
BTC,JustLend,Tron,520316430,0.00153,0.00153,,0,0,,,Lending,,,,0.00149,,,,0.00153,0.00153,-2.02522,,-2.02522,520754263,437833,520316430,
